date,location,time,unknown,day
7/1/2017,Sai Sagar,23:29:10,30,WE
24/04/2017,Swastik,23:13:45,31,WD
10/9/2017,Swastik,4:59:35,31,WE
15/06/2017,Dairy Don,17:08:37,32,WD
22/01/2017,White Elephant Arena Cafe,6:06:58,32,WE
18/06/2017,Geeta Fast Food,5:19:28,32,WE
1/4/2017,Gupta Sandwiches & Snacks,11:21:44,33,WE
2/9/2017,Dairy Don,14:30:00,33,WE
7/10/2017,Sandrich,12:33:12,33,WE
3/10/2017,Geeta Fast Food,1:07:26,35,WD
8/1/2017,Rassam Express,19:13:20,35,WE
26/08/2017,Sleight of Hand,0:16:37,35,WE
24/06/2017,Geeta Fast Food,9:27:12,35,WE
28/05/2017,Sai Sagar,9:13:36,35,WE
28/01/2017,Sandrich,1:29:00,36,WE
16/07/2017,Peche Mignon - Novotel,16:44:58,36,WE
1/7/2017,Sandrich,14:09:36,37,WE
19/08/2017,Kosmic Sheesha Lounge,10:15:01,37,WE
22/04/2017,Prasad Food Divine,23:39:38,38,WE
25/02/2017,The Tuck Box,16:37:22,38,WE
16/04/2017,The Spot,18:46:30,38,WE
3/3/2017,Saarthi,0:00:46,39,WD
20/09/2017,Sai Sagar,4:00:09,39,WD
12/8/2017,Lomchin Wok,1:24:33,39,WE
27/06/2017,Domino's Pizza,15:40:08,40,WD
7/2/2017,Sai Sagar,14:29:07,40,WD
19/04/2017,Prithika Hotel,23:08:27,40,WD
29/04/2017,Sleight of Hand,15:54:22,40,WE
25/07/2017,Sandrich,2:13:01,41,WD
24/01/2017,Geeta Fast Food,14:08:46,41,WD
6/9/2017,Sandrich,13:29:56,41,WD
25/03/2017,Geeta Fast Food,10:41:27,41,WE
25/02/2017,Sandrich,4:59:12,41,WE
12/3/2017,143 East,1:44:58,41,WE
3/6/2017,The Tuck Box,5:09:54,41,WE
31/08/2017,Sleight of Hand,4:16:48,42,WD
30/07/2017,Tindees QSR,15:55:12,42,WE
24/06/2017,Geeta Fast Food,12:02:14,42,WE
7/1/2017,Tamarind,18:08:16,42,WE
29/07/2017,Bombay Burger's,19:01:55,43,WE
29/03/2017,Tindees QSR,9:33:22,44,WD
4/2/2017,Geeta Fast Food,14:44:07,44,WE
3/6/2017,Domino's Pizza,8:52:27,44,WE
21/01/2017,Geeta Fast Food,4:02:33,45,WE
13/05/2017,Sai Sagar,22:11:16,45,WE
6/2/2017,Kosmic Sheesha Lounge,10:38:41,46,WD
9/3/2017,Tindees QSR,21:45:39,46,WD
25/09/2017,SR Restaurant and Lounge,11:50:08,46,WD
2/8/2017,Kosmic Sheesha Lounge,23:42:46,47,WD
10/1/2017,Sai Sagar,3:32:40,47,WD
20/01/2017,111 East,19:51:45,47,WD
13/09/2017,Peche Mignon - Novotel,12:39:30,47,WD
23/07/2017,Geeta Fast Food,8:36:30,47,WE
14/05/2017,Geeta Fast Food,19:18:03,47,WE
14/08/2017,Bombay Burger's,0:29:42,48,WD
20/05/2017,Great World,19:50:07,48,WE
15/07/2017,Vedge,16:17:53,48,WE
4/3/2017,Sleight of Hand,19:55:56,48,WE
19/08/2017,Tindees QSR,15:35:29,49,WE
25/06/2017,Prithika Hotel,19:33:18,49,WE
5/2/2017,Domino's Pizza,12:12:36,49,WE
23/09/2017,Slice of Lime,21:28:19,49,WE
2/9/2017,Sandrich,11:48:00,49,WE
14/01/2017,Slice of Lime,22:35:13,49,WE
6/4/2017,Swastik,3:01:33,50,WD
1/3/2017,Gupta Sandwiches & Snacks,5:56:03,50,WD
21/05/2017,Domino's Pizza,1:59:53,50,WE
14/01/2017,Sandrich,22:25:11,50,WE
21/04/2017,Sandrich,14:11:14,51,WD
2/7/2017,Bombay Burger's,17:56:56,51,WE
21/01/2017,Prasad Food Divine,2:50:04,51,WE
15/01/2017,Sai Sagar,8:05:19,51,WE
23/04/2017,Saarthi,15:57:02,52,WE
5/8/2017,Geeta Fast Food,15:26:12,52,WE
7/1/2017,Slice of Lime,10:06:41,53,WE
22/04/2017,White Elephant Arena Cafe,12:49:35,54,WE
1/4/2017,Gupta Sandwiches & Snacks,0:47:55,54,WE
26/01/2017,BOX8 - Desi Meals,4:41:20,55,WD
12/8/2017,Sai Sagar,0:49:56,55,WE
18/02/2017,Gupta Sandwiches & Snacks,23:07:31,55,WE
21/01/2017,Tindees QSR,11:01:24,55,WE
7/3/2017,Prasad Food Divine,14:46:42,56,WD
14/05/2017,Sandrich,8:27:21,56,WE
8/1/2017,Sai Sagar,15:13:32,56,WE
7/1/2017,Great World,16:03:30,56,WE
27/08/2017,Aqua Garden Resto Bar,22:22:12,56,WE
20/08/2017,Saarthi,2:39:03,56,WE
24/01/2017,Great World,20:29:25,57,WD
23/04/2017,Prasad Food Divine,16:57:47,57,WE
14/05/2017,144 East,9:46:51,57,WE
3/6/2017,SR Restaurant and Lounge,11:27:33,57,WE
10/9/2017,Domino's Pizza,13:33:41,57,WE
7/2/2017,Sandrich,22:06:10,58,WD
6/10/2017,Rassam Express,5:01:10,58,WD
12/2/2017,Gupta Sandwiches & Snacks,19:18:13,58,WE
2/4/2017,Slice of Lime,19:11:46,58,WE
18/03/2017,Tindees QSR,11:56:33,58,WE
11/6/2017,Sai Sagar,6:15:30,58,WE
26/03/2017,Domino's Pizza,19:57:19,58,WE
22/07/2017,Aqua Garden Resto Bar,13:32:54,59,WE
9/9/2017,Sai Sagar,11:13:48,59,WE
18/03/2017,Geeta Fast Food,3:14:53,59,WE
6/9/2017,7th Heaven,20:01:42,60,WD
28/02/2017,Tindees QSR,20:14:50,60,WD
17/09/2017,Kosmic Sheesha Lounge,9:35:16,60,WE
1/7/2017,Tamarind,20:55:23,60,WE
30/04/2017,SR Restaurant and Lounge,17:07:12,60,WE
13/08/2017,Sandrich,10:39:39,60,WE
4/3/2017,Slice of Lime,8:02:53,60,WE
6/5/2017,Sleight of Hand,23:20:03,61,WE
1/1/2017,Tindees QSR,0:42:08,61,WE
14/01/2017,Prithika Hotel,19:22:11,61,WE
7/7/2017,SR Restaurant and Lounge,13:24:27,62,WD
2/7/2017,Hotel Silver Spoon,9:46:26,62,WE
20/01/2017,The Spot,19:44:49,63,WD
13/05/2017,Tindees QSR,21:19:39,63,WE
18/03/2017,Swastik,10:01:55,63,WE
18/02/2017,Great World,12:53:36,63,WE
1/10/2017,Kosmic Sheesha Lounge,2:45:51,63,WE
21/04/2017,Domino's Pizza,0:05:58,64,WD
23/01/2017,BOX8 - Desi Meals,10:51:19,64,WD
23/07/2017,Sandrich,6:01:15,64,WE
14/05/2017,SR Restaurant and Lounge,21:55:03,64,WE
28/02/2017,Geeta Fast Food,1:20:47,65,WD
26/02/2017,Tindees QSR,2:35:54,65,WE
13/05/2017,Gupta Sandwiches & Snacks,13:30:01,65,WE
2/4/2017,Slice of Lime,13:31:39,65,WE
21/05/2017,Geeta Fast Food,8:25:30,65,WE
22/04/2017,Tindees QSR,14:17:36,65,WE
15/09/2017,Geeta Fast Food,20:53:14,66,WD
8/1/2017,Geeta Fast Food,3:14:19,66,WE
2/9/2017,Zeal 3 Seasons Family Restaurant & Bar,6:15:40,66,WE
25/06/2017,Swastik,20:18:25,66,WE
15/04/2017,Vedge,14:53:48,66,WE
19/03/2017,Great World,5:38:51,66,WE
16/07/2017,Golden Jade - Ramada,8:40:04,66,WE
13/08/2017,Dairy Don,11:20:40,66,WE
4/8/2017,Dairy Don,14:44:15,67,WD
29/07/2017,Gupta Sandwiches & Snacks,6:21:12,67,WE
13/08/2017,Tindees QSR,12:14:03,67,WE
8/4/2017,Bombay Burger's,4:15:22,67,WE
18/02/2017,Dairy Don,3:44:59,68,WE
17/06/2017,Sai Sagar,21:50:54,68,WE
10/9/2017,Vedge,2:00:39,68,WE
1/1/2017,Tindees QSR,2:39:38,68,WE
5/2/2017,Peche Mignon - Novotel,20:08:23,68,WE
10/6/2017,Saarthi,16:11:34,69,WE
17/09/2017,Lomchin Wok,13:41:20,69,WE
21/04/2017,Sai Sagar,2:43:50,70,WD
17/02/2017,Dairy Don,21:31:02,70,WD
27/05/2017,BOX8 - Desi Meals,1:27:14,70,WE
25/06/2017,Sandrich,0:55:14,70,WE
20/08/2017,Geeta Fast Food,17:47:35,70,WE
18/06/2017,Sandrich,16:55:21,71,WE
4/3/2017,Geeta Fast Food,10:10:21,71,WE
15/04/2017,Tindees QSR,9:43:06,71,WE
1/10/2017,Tindees QSR,4:08:38,72,WE
6/5/2017,Geeta Fast Food,20:18:46,72,WE
8/1/2017,Varsha,8:53:01,72,WE
28/01/2017,Sai Sagar,6:49:41,72,WE
20/04/2017,Swastik,17:14:03,73,WD
23/04/2017,Sandrich,7:18:45,73,WE
7/6/2017,Domino's Pizza,6:30:05,74,WD
26/02/2017,Prithika Hotel,4:37:10,74,WE
28/01/2017,The Spot,6:41:27,74,WE
19/07/2017,Geeta Fast Food,4:31:08,75,WD
15/06/2017,Geeta Fast Food,14:33:46,75,WD
13/04/2017,Geeta Fast Food,22:43:22,75,WD
29/04/2017,Lomchin Wok,2:37:05,75,WE
25/04/2017,Tindees QSR,23:20:11,76,WD
18/06/2017,Geeta Fast Food,16:24:01,76,WE
2/7/2017,Tindees QSR,9:03:36,76,WE
13/05/2017,Sai Sagar,15:38:18,76,WE
7/3/2017,Gupta Sandwiches & Snacks,7:57:41,77,WD
28/01/2017,Varsha,8:10:58,77,WE
7/10/2017,Tamarind,6:56:56,77,WE
8/7/2017,Vedge,10:32:02,77,WE
4/2/2017,Geeta Fast Food,17:21:59,77,WE
12/3/2017,Swastik,18:23:09,77,WE
7/5/2017,Saarthi,13:47:51,78,WE
15/02/2017,Gupta Sandwiches & Snacks,11:31:26,79,WD
4/7/2017,Slice of Lime,17:41:35,79,WD
30/08/2017,Swastik,16:43:51,80,WD
29/04/2017,Prithika Hotel,10:16:20,80,WE
23/04/2017,Domino's Pizza,9:23:19,81,WE
22/01/2017,Gupta Sandwiches & Snacks,13:21:02,81,WE
14/03/2017,Geeta Fast Food,23:25:47,82,WD
27/09/2017,Varsha,4:29:59,82,WD
3/6/2017,Dairy Don,17:24:00,82,WE
10/6/2017,Tindees QSR,17:30:06,82,WE
25/08/2017,Gupta Sandwiches & Snacks,2:23:35,83,WD
30/07/2017,The Tuck Box,21:21:14,83,WE
9/9/2017,Dairy Don,3:18:17,83,WE
1/9/2017,Geeta Fast Food,13:29:36,84,WD
1/4/2017,Varsha,1:18:42,84,WE
3/9/2017,Sandrich,4:34:50,84,WE
14/07/2017,Canvas Laugh Club,19:23:32,85,WD
15/02/2017,Sandrich,18:21:07,85,WD
15/06/2017,Saarthi,11:45:43,86,WD
4/3/2017,Gupta Sandwiches & Snacks,22:13:25,86,WE
12/8/2017,Tamarind,5:49:53,87,WE
9/4/2017,Kosmic Sheesha Lounge,11:37:50,87,WE
23/02/2017,Sandrich,2:35:07,88,WD
3/2/2017,Tindees QSR,8:36:51,89,WD
17/07/2017,Peche Mignon - Novotel,19:40:00,89,WD
21/08/2017,Sai Sagar,18:49:00,89,WD
22/08/2017,Sai Sagar,0:31:22,90,WD
30/09/2017,Geeta Fast Food,16:34:38,90,WE
2/9/2017,Sai Sagar,22:54:38,90,WE
24/08/2017,Canvas Laugh Club,6:26:19,91,WD
22/06/2017,Gupta Sandwiches & Snacks,10:29:39,91,WD
1/7/2017,Gupta Sandwiches & Snacks,20:04:14,91,WE
22/04/2017,Sandrich,8:04:27,91,WE
2/7/2017,Golden Jade - Ramada,23:57:49,91,WE
25/04/2017,Sandrich,11:56:35,92,WD
31/01/2017,Tindees QSR,9:18:28,92,WD
15/04/2017,Slice of Lime,22:29:52,92,WE
11/2/2017,Geeta Fast Food,7:29:08,92,WE
22/01/2017,Sleight of Hand,13:18:54,92,WE
27/06/2017,Sandrich,23:11:41,93,WD
22/07/2017,Prithika Hotel,22:59:37,93,WE
9/9/2017,Prasad Food Divine,22:48:07,93,WE
4/3/2017,Swastik,1:42:23,93,WE
3/9/2017,Swastik,16:52:58,94,WE
8/1/2017,Prithika Hotel,21:19:05,94,WE
28/01/2017,Sandrich,19:31:16,94,WE
3/4/2017,Domino's Pizza,3:20:58,95,WD
16/08/2017,Geeta Fast Food,3:36:51,95,WD
20/08/2017,Sleight of Hand,15:06:44,95,WE
15/04/2017,Varsha,23:35:05,95,WE
23/07/2017,Geeta Fast Food,5:58:58,96,WE
25/06/2017,Sandrich,23:28:21,96,WE
29/07/2017,Prithika Hotel,10:27:31,97,WE
18/03/2017,Slice of Lime,14:58:43,97,WE
3/9/2017,SR Restaurant and Lounge,19:04:09,97,WE
22/04/2017,Kosmic Sheesha Lounge,8:20:08,97,WE
20/03/2017,Rassam Express,14:11:13,98,WD
7/10/2017,SR Restaurant and Lounge,6:45:43,98,WE
29/04/2017,Tindees QSR,11:20:15,98,WE
17/06/2017,Kosmic Sheesha Lounge,4:40:01,98,WE
4/5/2017,Geeta Fast Food,7:57:55,99,WD
4/3/2017,Sandrich,20:17:53,99,WE
8/4/2017,Lomchin Wok,1:12:25,99,WE
10/6/2017,Peche Mignon - Novotel,22:13:02,100,WE
2/9/2017,137 East,11:06:45,101,WE
1/7/2017,Gupta Sandwiches & Snacks,17:23:25,101,WE
4/2/2017,Tindees QSR,8:19:21,101,WE
9/9/2017,Rassam Express,6:49:51,101,WE
6/2/2017,Geeta Fast Food,0:50:36,102,WD
8/4/2017,Gupta Sandwiches & Snacks,18:03:42,102,WE
18/07/2017,Hotel Silver Spoon,0:10:53,104,WD
13/08/2017,Domino's Pizza,14:56:13,105,WE
14/01/2017,Saarthi,2:56:27,105,WE
14/02/2017,Swastik,4:16:55,106,WD
17/02/2017,Lomchin Wok,9:43:46,106,WD
25/07/2017,Sandrich,7:53:37,106,WD
22/01/2017,Dairy Don,7:51:13,106,WE
18/03/2017,Kosmic Sheesha Lounge,3:12:01,106,WE
10/4/2017,Tindees QSR,10:45:27,107,WD
19/02/2017,Sai Sagar,13:04:42,107,WE
28/09/2017,Peche Mignon - Novotel,14:52:10,108,WD
1/1/2017,Geeta Fast Food,13:10:06,108,WE
9/4/2017,Sai Sagar,3:05:51,108,WE
30/04/2017,Slice of Lime,7:33:56,108,WE
9/4/2017,Hotel Silver Spoon,3:45:18,108,WE
20/05/2017,Sai Sagar,9:57:56,108,WE
13/08/2017,Rassam Express,23:57:54,109,WE
30/07/2017,Swastik,21:55:35,109,WE
30/03/2017,Domino's Pizza,23:02:26,110,WD
23/05/2017,Sandrich,19:27:30,110,WD
9/7/2017,Saarthi,2:11:01,110,WE
22/07/2017,Domino's Pizza,14:19:55,110,WE
8/4/2017,White Elephant Arena Cafe,14:26:53,110,WE
19/07/2017,Sandrich,5:54:45,111,WD
23/09/2017,Saarthi,11:09:30,111,WE
23/04/2017,BOX8 - Desi Meals,10:56:17,111,WE
7/5/2017,Saarthi,4:49:18,111,WE
24/09/2017,Gupta Sandwiches & Snacks,22:14:17,111,WE
18/06/2017,Domino's Pizza,3:06:24,111,WE
18/02/2017,Saarthi,5:25:50,111,WE
7/2/2017,SR Restaurant and Lounge,22:54:53,112,WD
14/04/2017,Varsha,0:00:35,113,WD
28/09/2017,Domino's Pizza,21:16:29,113,WD
29/04/2017,Dairy Don,2:55:17,113,WE
25/02/2017,Canvas Laugh Club,12:34:19,113,WE
2/4/2017,Golden Jade - Ramada,21:44:37,113,WE
19/07/2017,Sai Sagar,9:19:09,114,WD
9/3/2017,Sandrich,23:57:05,114,WD
24/08/2017,Sai Sagar,2:50:58,114,WD
5/5/2017,Kosmic Sheesha Lounge,5:16:37,114,WD
6/5/2017,145 East,9:08:57,114,WE
23/05/2017,Sandrich,12:36:30,115,WD
26/08/2017,Sandrich,22:30:26,115,WE
15/04/2017,7th Heaven,8:39:29,115,WE
26/03/2017,Kosmic Sheesha Lounge,10:14:02,115,WE
14/01/2017,Dairy Don,22:38:44,115,WE
22/03/2017,Gupta Sandwiches & Snacks,4:34:11,116,WD
24/08/2017,Prasad Food Divine,17:00:40,116,WD
8/8/2017,Slice of Lime,15:59:15,116,WD
8/1/2017,Prithika Hotel,4:36:53,116,WE
26/08/2017,Saarthi,12:19:12,117,WE
6/6/2017,Sandrich,5:42:06,118,WD
12/2/2017,Domino's Pizza,23:45:30,118,WE
17/02/2017,Gupta Sandwiches & Snacks,5:18:09,119,WD
8/3/2017,Slice of Lime,18:09:44,119,WD
14/01/2017,Swastik,18:28:02,119,WE
25/02/2017,Gupta Sandwiches & Snacks,6:33:32,119,WE
7/5/2017,Domino's Pizza,1:05:28,119,WE
21/01/2017,China Valley,5:12:28,120,WE
27/06/2017,7th Heaven,20:10:38,121,WD
3/3/2017,Dairy Don,20:18:10,121,WD
30/07/2017,Tindees QSR,8:29:36,122,WE
28/05/2017,Domino's Pizza,18:44:03,122,WE
18/08/2017,Slice of Lime,0:29:34,124,WD
1/9/2017,Peche Mignon - Novotel,2:40:43,124,WD
21/02/2017,Slice of Lime,11:33:01,125,WD
23/07/2017,Swastik,0:27:03,125,WE
1/4/2017,Dairy Don,2:54:20,125,WE
18/02/2017,Geeta Fast Food,8:00:54,125,WE
27/05/2017,Slice of Lime,19:01:01,125,WE
9/9/2017,Sleight of Hand,1:32:27,125,WE
22/07/2017,Zeal 3 Seasons Family Restaurant & Bar,3:23:43,125,WE
23/09/2017,Tamarind,18:11:54,125,WE
25/04/2017,Dairy Don,4:46:33,126,WD
1/1/2017,The Tuck Box,17:27:57,126,WE
9/9/2017,The Spot,4:52:34,126,WE
18/02/2017,Sai Sagar,9:33:58,126,WE
26/03/2017,SR Restaurant and Lounge,7:08:46,126,WE
18/03/2017,Geeta Fast Food,18:35:49,126,WE
11/5/2017,China Valley,4:35:19,127,WD
1/4/2017,Prithika Hotel,9:20:32,127,WE
25/03/2017,SR Restaurant and Lounge,6:35:47,127,WE
1/7/2017,Prithika Hotel,5:13:12,127,WE
17/09/2017,Swastik,4:35:14,128,WE
5/2/2017,Swastik,21:32:50,128,WE
2/4/2017,Domino's Pizza,18:35:30,128,WE
21/05/2017,SR Restaurant and Lounge,16:11:05,129,WE
5/2/2017,SR Restaurant and Lounge,19:06:24,129,WE
19/03/2017,Gupta Sandwiches & Snacks,6:45:09,129,WE
10/6/2017,Prithika Hotel,19:51:52,129,WE
23/04/2017,Rassam Express,19:33:59,129,WE
28/01/2017,SR Restaurant and Lounge,18:58:03,130,WE
24/09/2017,Geeta Fast Food,2:54:15,130,WE
13/07/2017,Varsha,3:15:42,131,WD
4/7/2017,Vedge,12:23:48,131,WD
10/6/2017,The Spot,2:18:19,131,WE
18/06/2017,Sai Sagar,2:46:58,131,WE
19/08/2017,Prithika Hotel,9:08:41,131,WE
3/9/2017,Sai Sagar,20:23:21,131,WE
1/4/2017,Canvas Laugh Club,14:51:07,131,WE
17/06/2017,Great World,23:25:10,131,WE
5/9/2017,Slice of Lime,17:17:10,132,WD
10/8/2017,Varsha,7:10:53,132,WD
21/06/2017,Slice of Lime,13:55:13,132,WD
27/05/2017,Prithika Hotel,20:19:06,132,WE
11/5/2017,Tindees QSR,23:41:54,133,WD
31/07/2017,White Elephant Arena Cafe,11:52:36,133,WD
7/6/2017,Kosmic Sheesha Lounge,4:29:47,133,WD
20/05/2017,Sandrich,19:56:42,133,WE
27/05/2017,Sai Sagar,5:41:54,133,WE
14/05/2017,Varsha,11:56:58,133,WE
9/4/2017,Gupta Sandwiches & Snacks,14:00:37,134,WE
7/5/2017,Great World,19:35:36,134,WE
11/6/2017,Slice of Lime,9:23:11,134,WE
27/05/2017,SR Restaurant and Lounge,20:53:06,135,WE
28/03/2017,Tindees QSR,17:25:31,136,WD
20/06/2017,Domino's Pizza,14:52:51,136,WD
13/05/2017,Sai Sagar,17:29:44,136,WE
6/8/2017,Sandrich,2:39:26,136,WE
29/07/2017,Rassam Express,6:30:44,136,WE
13/05/2017,Swastik,8:35:37,136,WE
4/3/2017,The Tuck Box,10:20:08,136,WE
16/09/2017,Lomchin Wok,20:53:21,136,WE
19/08/2017,Zeal 3 Seasons Family Restaurant & Bar,14:25:41,136,WE
26/09/2017,Geeta Fast Food,1:02:39,137,WD
6/8/2017,7th Heaven,17:39:07,137,WE
5/3/2017,The Spot,23:36:45,137,WE
25/07/2017,Varsha,21:55:18,138,WD
23/09/2017,Sandrich,14:38:49,138,WE
26/03/2017,Rassam Express,21:20:40,138,WE
23/05/2017,Tindees QSR,13:35:18,139,WD
5/4/2017,Geeta Fast Food,10:49:15,139,WD
15/09/2017,Golden Jade - Ramada,2:53:20,139,WD
26/03/2017,Prithika Hotel,4:11:19,139,WE
22/04/2017,Swastik,14:30:47,139,WE
6/5/2017,Prasad Food Divine,10:15:55,140,WE
1/2/2017,Domino's Pizza,16:14:56,141,WD
27/04/2017,Sandrich,8:50:56,141,WD
23/07/2017,Sandrich,9:59:48,141,WE
11/7/2017,Geeta Fast Food,23:54:44,142,WD
24/07/2017,Sai Sagar,4:51:13,142,WD
17/08/2017,Golden Jade - Ramada,2:35:18,142,WD
6/10/2017,Sai Sagar,13:57:52,142,WD
4/6/2017,Sleight of Hand,14:18:33,142,WE
29/04/2017,SR Restaurant and Lounge,14:05:49,142,WE
23/09/2017,Sandrich,23:43:13,142,WE
22/01/2017,Tindees QSR,16:03:23,142,WE
10/7/2017,The Spot,14:55:37,143,WD
13/01/2017,Tindees QSR,19:57:51,143,WD
24/06/2017,Domino's Pizza,8:18:45,143,WE
21/05/2017,Bombay Burger's,6:35:16,143,WE
2/7/2017,Sandrich,7:39:13,143,WE
16/07/2017,Sandrich,14:10:22,143,WE
26/06/2017,Slice of Lime,9:33:23,144,WD
10/3/2017,Domino's Pizza,2:21:44,144,WD
15/06/2017,Geeta Fast Food,3:39:51,146,WD
16/04/2017,Lomchin Wok,15:24:02,146,WE
22/03/2017,Geeta Fast Food,0:18:53,147,WD
19/05/2017,Sandrich,2:08:25,147,WD
15/07/2017,Domino's Pizza,6:17:21,147,WE
25/02/2017,Bombay Burger's,18:54:50,147,WE
20/05/2017,Hotel Silver Spoon,3:12:16,147,WE
19/06/2017,Hotel Silver Spoon,0:25:23,148,WD
